name,performance,accessibility,best_practices,seo,url
home,63,99,100,100,http://localhost:5173/
entities,64,95,100,100,http://localhost:5173/Entities?sort=%2Bentity_id&page_size=10
genes,63,99,100,100,http://localhost:5173/Genes?sort=%2Bsymbol&page_after=0&page_size=10
phenotypes,63,88,100,100,http://localhost:5173/Phenotypes?sort=entity_id&filter=all(modifier_phenotype_id,HP:0001249)&page_size=10
panels,64,99,100,100,http://localhost:5173/Panels/All/All
curationcomparisons,64,99,100,100,http://localhost:5173/CurationComparisons
curationcomparisons-similarity,63,99,100,100,http://localhost:5173/CurationComparisons/Similarity
curationcomparisons-table,62,95,100,100,http://localhost:5173/CurationComparisons/Table
phenotypecorrelations,63,99,100,100,http://localhost:5173/PhenotypeCorrelations
phenotypefunctionalcorrelation,66,99,100,100,http://localhost:5173/PhenotypeFunctionalCorrelation
variantcorrelations,63,99,100,100,http://localhost:5173/VariantCorrelations
entriesovertime,66,94,100,100,http://localhost:5173/EntriesOverTime
publicationsndd,64,96,100,100,http://localhost:5173/PublicationsNDD
pubtatorndd,67,96,100,100,http://localhost:5173/PubtatorNDD
genenetworks,17,88,100,100,http://localhost:5173/GeneNetworks
nddscore,63,93,100,100,http://localhost:5173/NDDScore?sort=%2Brank&page_size=10
nddscore-modelcard,66,96,100,100,http://localhost:5173/NDDScore/ModelCard
about,62,99,100,100,http://localhost:5173/About
documentation,66,99,100,100,http://localhost:5173/Documentation
mcp,67,99,100,100,http://localhost:5173/mcp
api,66,95,100,100,http://localhost:5173/API
login,66,99,100,100,http://localhost:5173/Login
register,66,100,100,100,http://localhost:5173/Register
gene-detail,53,93,100,100,http://localhost:5173/Genes/ARID1B
entity-detail,65,99,100,100,http://localhost:5173/Entities/1
